full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,56523,56523,4127,388,388,38,https://github.com/anthropics/claude-code
shareAI-lab/learn-claude-code,14213,14213,3322,97,97,13,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,25653,25653,2005,160,160,9,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,16010,16010,1389,110,110,13,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,20376,20376,1148,147,147,7,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5108,5108,1368,27,27,1,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,8384,8384,1110,36,36,1,https://github.com/diet103/claude-code-infrastructure-showcase
VoltAgent/awesome-claude-code-subagents,7844,7844,880,89,89,7,https://github.com/VoltAgent/awesome-claude-code-subagents
OneRedOak/claude-code-workflows,3473,3473,518,2,2,1,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,4398,4398,381,141,141,8,https://github.com/ChrisWiles/claude-code-showcase
1rgs/claude-code-proxy,2841,2841,386,8,8,2,https://github.com/1rgs/claude-code-proxy
obra/superpowers,22220,22220,1673,1838,1838,132,https://github.com/obra/superpowers
kodu-ai/claude-coder,5281,5281,200,0,0,0,https://github.com/kodu-ai/claude-coder
Piebald-AI/claude-code-system-prompts,3031,3031,450,45,45,5,https://github.com/Piebald-AI/claude-code-system-prompts
Yuyz0112/claude-code-reverse,1936,1936,344,11,11,1,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6176,6176,298,18,18,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
zebbern/claude-code-guide,3026,3026,263,13,13,1,https://github.com/zebbern/claude-code-guide
disler/claude-code-hooks-mastery,2068,2068,440,1,1,0,https://github.com/disler/claude-code-hooks-mastery
eyaltoledano/claude-task-master,24818,24818,2383,19,19,0,https://github.com/eyaltoledano/claude-task-master
fuergaosi233/claude-code-proxy,1886,1886,257,4,4,2,https://github.com/fuergaosi233/claude-code-proxy
Cranot/claude-code-guide,2247,2247,248,3,3,1,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,555,555,598,1,1,-1,https://github.com/anthropics/claude-code-base-action
frankbria/ralph-claude-code,2880,2880,193,286,286,22,https://github.com/frankbria/ralph-claude-code
Pimzino/claude-code-spec-workflow,3321,3321,243,4,4,0,https://github.com/Pimzino/claude-code-spec-workflow
