full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,55242,55242,3998,504,504,41,https://github.com/anthropics/claude-code
shareAI-lab/learn-claude-code,13793,13793,3278,113,113,8,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,25308,25308,1984,60,60,2,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,15568,15568,1347,217,217,9,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,19964,19964,1131,96,96,9,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5039,5039,1363,14,14,-1,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,8301,8301,1102,20,20,5,https://github.com/diet103/claude-code-infrastructure-showcase
VoltAgent/awesome-claude-code-subagents,7567,7567,848,76,76,10,https://github.com/VoltAgent/awesome-claude-code-subagents
OneRedOak/claude-code-workflows,3455,3455,517,9,9,2,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,3966,3966,356,200,200,18,https://github.com/ChrisWiles/claude-code-showcase
1rgs/claude-code-proxy,2807,2807,380,2,2,0,https://github.com/1rgs/claude-code-proxy
kodu-ai/claude-coder,5281,5281,200,-3,-3,0,https://github.com/kodu-ai/claude-coder
obra/superpowers,16989,16989,1339,829,829,63,https://github.com/obra/superpowers
Piebald-AI/claude-code-system-prompts,2903,2903,435,41,41,2,https://github.com/Piebald-AI/claude-code-system-prompts
Yuyz0112/claude-code-reverse,1910,1910,341,3,3,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6138,6138,296,11,11,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
zebbern/claude-code-guide,2983,2983,262,14,14,-2,https://github.com/zebbern/claude-code-guide
disler/claude-code-hooks-mastery,2059,2059,440,5,5,0,https://github.com/disler/claude-code-hooks-mastery
Cranot/claude-code-guide,2241,2241,247,-2,-2,0,https://github.com/Cranot/claude-code-guide
eyaltoledano/claude-task-master,24762,24762,2378,28,28,1,https://github.com/eyaltoledano/claude-task-master
fuergaosi233/claude-code-proxy,1865,1865,253,4,4,-1,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-base-action,550,550,598,1,1,-1,https://github.com/anthropics/claude-code-base-action
Pimzino/claude-code-spec-workflow,3311,3311,242,6,6,1,https://github.com/Pimzino/claude-code-spec-workflow
wshobson/agents,25045,25045,2761,98,98,14,https://github.com/wshobson/agents
anthropics/skills,37652,37652,3419,540,540,60,https://github.com/anthropics/skills
anthropics/claude-code-security-review,2818,2818,207,4,4,-1,https://github.com/anthropics/claude-code-security-review
https-deeplearning-ai/sc-claude-code-files,361,361,475,0,0,2,https://github.com/https-deeplearning-ai/sc-claude-code-files
github/spec-kit,61695,61695,5360,190,190,16,https://github.com/github/spec-kit
ghuntley/claude-code-source-code-deobfuscation,787,787,397,0,0,1,https://github.com/ghuntley/claude-code-source-code-deobfuscation
feiskyer/claude-code-settings,1058,1058,167,4,4,-1,https://github.com/feiskyer/claude-code-settings
siteboon/claudecodeui,5434,5434,687,20,20,4,https://github.com/siteboon/claudecodeui
edmund-io/edmunds-claude-code,886,886,185,14,14,1,https://github.com/edmund-io/edmunds-claude-code
lst97/claude-code-sub-agents,1304,1304,218,6,6,1,https://github.com/lst97/claude-code-sub-agents
sugyan/claude-code-webui,821,821,188,1,1,2,https://github.com/sugyan/claude-code-webui
ComposioHQ/awesome-claude-skills,17726,17726,1830,400,400,35,https://github.com/ComposioHQ/awesome-claude-skills
nishimoto265/Claude-Code-Communication,469,469,219,0,0,1,https://github.com/nishimoto265/Claude-Code-Communication
rizethereum/claude-code-requirements-builder,1725,1725,172,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
centminmod/my-claude-code-setup,1632,1632,159,4,4,0,https://github.com/centminmod/my-claude-code-setup
andrepimenta/claude-code-chat,968,968,141,0,0,-1,https://github.com/andrepimenta/claude-code-chat
router-for-me/CLIProxyAPI,6263,6263,951,87,87,22,https://github.com/router-for-me/CLIProxyAPI
winfunc/opcode,19891,19891,1532,19,19,3,https://github.com/winfunc/opcode
